Constituency,Electorate,Party,Candidates,Votes,%
Alexandra,"19,670",People's Action Party,Tan Soo Khoon,"12,172",66.79
,,Workers' Party,John Cruz Corera,"6,053",33.21
Aljunied,"19,045",People's Action Party,Chin Harn Tong,Uncontested,
Ang Mo Kio,"14,633",People's Action Party,Yeo Toon Chia,"9,909",72.75
,,United People's Front,Ang Bee Lian,"3,711",27.25
Anson,"18,493",Workers' Party,J. B. Jeyaratnam,"9,909",56.81
,,People's Action Party,Ng Pock Too,"7,533",43.19
Ayer Rajah,"20,017",People's Action Party,Tan Cheng Bock,"14,050",75.44
,,Singapore Justice Party,Suib bin Abdul Rahman,"4,575",24.56
Bedok,"17,074",People's Action Party,S. Jayakumar,"10,972",68.95
,,Singapore United Front,Lee Chin Teck,"4,941",31.05
Bo Wen,"14,777",People's Action Party,Sushilan Vasoo,"10,299",74.7
,,United People's Front,Shaikh Ahmad bin Shaikh Salim,"3,488",25.3
Boon Lay,"18,964",People's Action Party,Goh Chee Wee,"12,490",69.65
,,Singapore United Front,Reveendran Sasi,"5,443",30.35
Boon Teck,"19,490",People's Action Party,Ho Tat Kin,"10,224",56.16
,,Barisan Sosialis,Lee Siew Choh,"7,982",43.84
Braddell Heights,"14,152",People's Action Party,Goh Choon Kang,Uncontested,
Brickworks,"13,571",People's Action Party,Ahmad Mattar,"8,389",66.27
,,Workers' Party,Mohd Taib bin Saffar,"4,270",33.73
Bukit Batok,"20,812",People's Action Party,Chai Chong Yii,"14,767",78.27
,,United People's Front,Tan Jue Kit,"4,099",21.73
Bukit Merah,"19,210",People's Action Party,Lim Chee Onn,Uncontested,
Bukit Panjang,"23,173",People's Action Party,Lee Yiok Seng,Uncontested,
Bukit Timah,"17,238",People's Action Party,Wang Kai Yuen,Uncontested,
Buona Vista,"18,041",People's Action Party,Ang Kok Peng,Uncontested,
Cairnhill,"15,862",People's Action Party,Wong Kwei Cheong,Uncontested,
Changi,"20,129",People's Action Party,Teo Chong Tee,"12,195",65.75
,,Singapore United Front,Sim Peng Kim,"6,353",34.25
Changkat,"18,742",People's Action Party,Aline Wong,"10,310",58.56
,,Singapore Democratic Party,Soon Kia Seng,"7,297",41.44
Cheng San,"17,328",People's Action Party,Lee Yock Suan,Uncontested,
Chong Boon,"20,650",People's Action Party,Rajagopal Sitaram Chandra Das,"11,058",56.02
,,Singapore Democratic Party,Ling How Dung,"8,681",43.98
Chua Chu Kang,"25,532",People's Action Party,Tang See Chim,"13,254",54.84
,,Workers' Party,Chan Keng Sieng,"10,720",44.35
,,United People's Front,Teo Kim Hoe,196,0.81
Clementi,"20,890",People's Action Party,Bernard Chen Tien Lap,Uncontested,
Delta,"14,800",People's Action Party,Yeo Choo Kok,"7,987",58.72
,,Workers' Party,Peter Chua Chwee Huat,"5,614",41.28
Eunos,"17,615",People's Action Party,Zulkifli bin Mohammed,"10,494",64.81
,,Singapore United Front,Chong Tung Shang,"5,697",35.19
Fengshan,"18,407",People's Action Party,Arthur Beng Kian Lam,"11,216",65.13
,,Singapore United Front,Chng Chin Siah,"6,005",34.87
Geylang Serai,"24,109",People's Action Party,Othman bin Haron Eusofe,"14,564",65.57
,,Singapore United Front,Mohamed Mansor bin Abdul Rahman,"7,649",34.43
Geylang West,"22,325",People's Action Party,Teh Cheang Wan,"13,798",66.83
,,Singapore United Front,Lim Tiong Hock,"2,994",34.43
Henderson,"17,630",People's Action Party,Lai Tha Chai,"9,695",58.8
,,Workers' Party,Chon Koon Cheong,"6,793",41.2
Hong Kah,"22,062",People's Action Party,Yeo Cheow Tong,Uncontested,
Jalan Besar,"16,115",People's Action Party,Lee Boon Yang,"9,236",64.43
,,Workers' Party,Anathan Balakrishnan,"5,100",35.57
Jalan Kayu,"25,011",People's Action Party,Heng Chiang Meng,"11,985",51.22
,,Workers' Party,Madai Puthan Damodaran Nair[b],"11,414",48.78
Joo Chiat,"18,957",People's Action Party,Yeoh Ghim Seng,Uncontested,
Jurong,"24,517",People's Action Party,Ho Kah Leong,Uncontested,
Kaki Bukit,"20,683",People's Action Party,Chew Heng Ching,"10,229",52.28
,,Singapore United Front,Tan Chee Kien[c],"9,336",47.72
Kallang,"18,809",People's Action Party,S. Dhanabalan,"11,256",64.95
,,Workers' Party,A. L. Sundram,"6,075",35.05
Kampong Chai Chee,"22,537",People's Action Party,Andrew Fong Sip Chee,"12,125",57.16
,,Singapore United Front,Seow Khee Leng,"9,087",42.84
Kampong Glam,"18,127",People's Action Party,S. Rajaratnam,Uncontested,
Kampong Kembangan,"20,295",People's Action Party,Yatiman bin Yusof,"10,326",55.71
,,Workers' Party,Jufrie Mahmood,"3,023",44.29
Kampong Ubi,"14,323",People's Action Party,Wan Hussin bin Zoohri,"8,378",63.73
,,Pertubuhan Kebangsaan Melayu Singapura,Abdul Rahman bin Mohamed Zin,"4,768",36.27
Kebun Baru,"17,542",People's Action Party,Lim Boon Heng,"12,311",75.84
,,United People's Front,Harbans Singh,"3,921",24.16
Khe Bong,"15,773",People's Action Party,Tang Guan Seng,"9,221",62.53
,,Barisan Sosialis,Sim Say Chuan,"5,525",37.47
Kim Keat,"20,439",People's Action Party,Ong Teng Cheong,Uncontested,
Kim Seng,"22,136",People's Action Party,Yeo Ning Hong,Uncontested,
Kolam Ayer,"23,630",People's Action Party,Sidek bin Saniff,"12,812",57.91
,,Workers' Party,Royston George Scharenguivel,"9,311",42.09
Kreta Ayer,"15,982",People's Action Party,Hu Tsu Tau Richard,"11,083",83.17
,,Independent,Lee Mun Hung,"2,242",16.83
Kuo Chuan,"18,728",People's Action Party,Wong Kan Seng,"11,162",64.55
,,Barisan Sosialis,Sim Chit Giak,"6,129",35.45
Leng Kee,"14,805",People's Action Party,Ow Chin Hock,"9,190",66.84
,,Workers' Party,George Benjamin Armstrong,"4,559",33.16
